(3^(1/3^3))^355,17 1469434365
(3^(1/3^3))^354,17 1316379357
(3^(1/3^3))^353,17 1392375420
(3^(1/3^3))^352,17 1503978030
(3^(1/3^3))^351,17 1486440477
(3^(1/3^3))^350,17 1451896812
(3^(1/3^3))^349,17 1248354909
(3^(1/3^3))^348,17 1489629123
(3^(1/3^3))^347,17 1181393343
(3^(1/3^3))^346,17 1267486785
(3^(1/3^3))^345,17 1238788971
(3^(1/3^3))^344,17 1009206459
(3^(1/3^3))^343,17 1294590276
(3^(1/3^3))^342,17 1201056660
(3^(1/3^3))^341,17 1044281565
(3^(1/3^3))^340,17 868906035
(3^(1/3^3))^339,17 891226557
(3^(1/3^3))^338,17 712662381
(3^(1/3^3))^337,17 852962805
(3^(1/3^3))^336,17 884849265
(3^(1/3^3))^335,17 832236606
(3^(1/3^3))^334,17 776435301
(3^(1/3^3))^333,17 709473735
(3^(1/3^3))^332,17 663238368
(3^(1/3^3))^331,17 631351908
(3^(1/3^3))^330,17 582105042
(3^(1/3^3))^329,17 572361957
(3^(1/3^3))^328,17 536350815
(3^(1/3^3))^327,17 481472424
(3^(1/3^3))^326,17 478727739
(3^(1/3^3))^325,17 449402985
(3^(1/3^3))^324,17 368288613
(3^(1/3^3))^323,17 406552365
(3^(1/3^3))^322,17 405666630
(3^(1/3^3))^321,17 562796019
(3^(1/3^3))^320,17 642512169
(3^(1/3^3))^319,17 438438825
(3^(1/3^3))^318,17 265274352
(3^(1/3^3))^317,17 327633741
(3^(1/3^3))^316,17 368800371
(3^(1/3^3))^315,17 565984665
(3^(1/3^3))^314,17 161026623
(3^(1/3^3))^313,17 444816117
(3^(1/3^3))^312,17 207006111
(3^(1/3^3))^311,17 393122862
(3^(1/3^3))^310,17 236510928
(3^(1/3^3))^309,17 121414518
(3^(1/3^3))^308,17 124381251
(3^(1/3^3))^307,17 232099506
(3^(1/3^3))^306,17 112287943
(3^(1/3^3))^305,17 371654406
(3^(1/3^3))^304,17 161617113
(3^(1/3^3))^303,17 115580694
(3^(1/3^3))^302,17 540475497
(3^(1/3^3))^301,17 306110016
(3^(1/3^3))^300,17 100442349
(3^(1/3^3))^299,17 196101729
(3^(1/3^3))^298,17 368288613
(3^(1/3^3))^297,17 0
(3^(1/3^3))^296,17 243931419
(3^(1/3^3))^295,17 33480783
(3^(1/3^3))^294,17 129140163
(3^(1/3^3))^293,17 411335334
(3^(1/3^3))^292,17 478296900
(3^(1/3^3))^291,17 272629233
(3^(1/3^3))^290,17 157837977
(3^(1/3^3))^289,17 435250179
(3^(1/3^3))^288,17 33480783
(3^(1/3^3))^287,17 19131876
(3^(1/3^3))^286,17 28697814
(3^(1/3^3))^285,17 148272039
(3^(1/3^3))^284,17 23914845
(3^(1/3^3))^283,17 86093442
(3^(1/3^3))^282,17 310892985
(3^(1/3^3))^281,17 492645807
(3^(1/3^3))^280,17 363505644
(3^(1/3^3))^279,17 444816117
(3^(1/3^3))^278,17 411335334
(3^(1/3^3))^277,17 325241892
(3^(1/3^3))^276,17 516560652
(3^(1/3^3))^275,17 296544078
(3^(1/3^3))^274,17 420901272
(3^(1/3^3))^273,17 344373768
(3^(1/3^3))^272,17 425684241
(3^(1/3^3))^271,17 569173311
(3^(1/3^3))^270,17 612220032
(3^(1/3^3))^269,17 205667667
(3^(1/3^3))^268,17 66961566
(3^(1/3^3))^267,17 330024861
(3^(1/3^3))^266,17 602654094
(3^(1/3^3))^265,17 521343621
(3^(1/3^3))^264,17 583522218
(3^(1/3^3))^263,17 463947993
(3^(1/3^3))^262,17 583522218
(3^(1/3^3))^261,17 243931419
(3^(1/3^3))^260,17 621785970
(3^(1/3^3))^259,17 353939706
